brand,model,OS,internal_memory,RAM,battery_mah,Screen,year,Price
Acer,beTouch E110,Android,0.25,0.25,1500,2.8,2010,70
BlackBerry,Bold 9700,BlackBerry,0.25,0.25,1500,2.44,2009,90
BlackBerry,Curve 3G 9300,BlackBerry,0.25,0.25,1150,2.46,2010,80
Dell,XCD28,Android,0.25,0.25,1100,2.8,2010,180
ZTE,Racer,Android,0.25,0.25,1100,2.8,2010,180
BlackBerry,Bold 9780,BlackBerry,0.25,0.5,1500,2.44,2010,90
Micromax,A57 Ninja 3.0,Android,0.25,0.5,1400,3.5,2012,70
Maxwest,Astro JR,Android,0.25,0.5,1300,3.5,2014,
Plum,Flix,Android,0.25,0.5,1200,3.2,2012,
NIU,Niutek 3G 3.5 N209,Android,0.25,0.5,1200,3.5,2012,100
ZTE,Racer II,Android,0.25,0.5,1100,2.8,2011,200
Celkon,A20,Android,0.25,0.5,1500,4,2013,60
Celkon,A10,Android,0.25,0.5,1500,3.5,2013,50
Celkon,Campus Nova A352E,Android,0.25,0.5,1400,3.5,2014,
Karbonn,A4,Android,0.25,0.5,1400,4,2013,70
Celkon,Campus One A354C,Android,0.25,0.5,1200,3.5,2014,
ZTE,V821,Android,0.25,,,,2011,220
BlackBerry,Curve 8980,BlackBerry,0.25,,,2.4,2012,70
Nokia,C5 TD-SCDMA,Symbian,0.25,,950,2.4,2010,
Nokia,X5 TD-SCDMA,Symbian,0.25,,950,2.4,2010,
Philips,W626,Android,0.25,,1530,3.5,2011,
BlackBerry,Tour 9630,BlackBerry,0.25,,1400,2.4,2009,70
BlackBerry,Curve 8900,BlackBerry,0.25,,1400,2.4,2008,60
BlackBerry,Pearl 3G 9100,BlackBerry,0.25,,1150,2.25,2010,90
BlackBerry,Pearl 3G 9105,BlackBerry,0.25,,1150,2.25,2010,90
BlackBerry,Curve 8530,BlackBerry,0.25,,1150,2.46,2009,60
BlackBerry,Curve 8520,BlackBerry,0.25,,1150,2.46,2009,70
Dell,Mini 3iX,Android,0.25,,1000,3.5,2009,230
Motorola,QUENCH,Android,0.5,0.25,1420,3.1,2010,100
Motorola,XT701,Android,0.5,0.25,1420,3.7,2009,230
Motorola,MILESTONE XT720,Android,0.5,0.25,1390,3.7,2010,190
Motorola,XT720 MOTOROI,Android,0.5,0.25,1390,3.7,2010,250
Lenovo,A269i,Android,0.5,0.25,1300,3.5,2013,70
