brand,model,announced,display_resolution,OS,internal_memory,RAM,battery,approx_price_EUR
Asus,Zenfone AR ZS571KL,2017  January,5.7 inches (~72.6% screen-to-body ratio),Android,256,8,Non-removable Li-Ion 3300 mAh battery,800
Huawei,Mate 9 Porsche Design,2016  November,5.5 inches (~73.2% screen-to-body ratio),Android,256,6,Non-removable Li-Po 4000 mAh battery,1400
Gionee,M2017,2016  December,5.7 inches (~74.4% screen-to-body ratio),Android,128,6,Non-removable Li-Po 7000 mAh battery,1150
ZTE,nubia Z17,2017  June,5.5 inches (~74.7% screen-to-body ratio),Android,128,6,Non-removable Li-Po 3200 mAh battery,500
vivo,Xplay6,2016  November,5.46 inches (~72.6% screen-to-body ratio),Android,128,6,Non-removable Li-Ion 4080 mAh battery,700
vivo,Xplay5 Elite,2016  March,5.43 inches (~69.5% screen-to-body ratio),Android,128,6,Non-removable Li-Ion 3600 mAh battery,610
ZTE,Axon 7s,2017  April,5.5 inches (~73.3% screen-to-body ratio),Android,128,6,Non-removable Li-Ion 3400 mAh battery,700
Gionee,M6s Plus,2017  April,6.0 inches (~75.1% screen-to-body ratio),Android,64,6,Non-removable Li-Po 6020 mAh battery,460
Oppo,R11 Plus,2017  June,6.0 inches (~73.0% screen-to-body ratio),Android,64,6,Non-removable Li-Po 4000 mAh battery,500
Oppo,R9s Plus,2016  October,6.0 inches (~75.1% screen-to-body ratio),Android,64,6,Non-removable Li-Po 4000 mAh battery,570
Xiaomi,Mi 6,2017  April,5.15 inches (~71.4% screen-to-body ratio),Android,64,6,Non-removable Li-Po 3350 mAh battery,400
OnePlus,5,2017  June,5.5 inches (~73.0% screen-to-body ratio),Android,64,6,Non-removable Li-Po 3300 mAh battery,500
vivo,X9 Plus,2016  November,5.88 inches (~74.5% screen-to-body ratio),Android,64,6,Non-removable Li-Ion 4000 mAh battery,580
OnePlus,3T,2016  November,5.5 inches (~73.1% screen-to-body ratio),Android,64,6,Non-removable Li-Ion 3400 mAh battery,440
OnePlus,3,2016  June,5.5 inches (~73.1% screen-to-body ratio),Android,64,6,Non-removable Li-Ion 3000 mAh battery,400
Samsung,Galaxy C9 Pro,2016  October,6.0 inches (~75.5% screen-to-body ratio),Android,64,6,Non-removable 4000 mAh battery,620
Apple,iPad Pro 12.9,2017  June,12.9 inches (~76.4% screen-to-body ratio),iOS,512,4,Non-removable Li-Ion battery (41 Wh),900
Apple,iPad Pro 10.5,2017  June,10.5 inches (~78.3% screen-to-body ratio),iOS,512,4,Non-removable Li-Ion battery (30.4 Wh),730
Apple,iPad Pro,2015  September,12.9 inches (~77.0% screen-to-body ratio),iOS,256,4,Non-removable Li-Ion 10|307 mAh battery (38.8 Wh),850
Huawei,nova 2 plus,2017  May,5.5 inches (~72.3% screen-to-body ratio),Android,128,4,Non-removable Li-Po 3340 mAh battery,380
LG,G6,2017  February,5.7 inches (~78.6% screen-to-body ratio),Android,128,4,Non-removable Li-Po 3300 mAh battery,750
Xiaomi,Mi 5,2016  February,5.15 inches (~73.1% screen-to-body ratio),Android,128,4,Non-removable Li-Po 3000 mAh battery,240
Xiaomi,Mi Mix,2016  October,6.4 inches (~83.6% screen-to-body ratio),Android,128,4,Non-removable Li-Ion 4400 mAh battery,770
Xiaomi,Redmi Pro,2016  July,5.5 inches (~72.2% screen-to-body ratio),Android,128,4,Non-removable Li-Ion 4050 mAh battery,210
vivo,Xplay5,2016  March,5.43 inches (~69.5% screen-to-body ratio),Android,128,4,Non-removable Li-Ion 3600 mAh battery,520
Google,Pixel XL,2016  October,5.5 inches (~71.2% screen-to-body ratio),Android,128,4,Non-removable Li-Ion 3450 mAh battery,880
Micromax,Dual 5,2017  March,5.5 inches,Android,128,4,Non-removable Li-Ion 3200 mAh battery,360
HTC,U Ultra,2017  January,5.7 inches (~69.7% screen-to-body ratio),Android,128,4,Non-removable Li-Ion 3000 mAh battery,750
ZTE,Axon Lux,2015  July,5.5 inches (~71.7% screen-to-body ratio),Android,128,4,Non-removable Li-Ion 3000 mAh battery,450
Google,Pixel,2016  October,5.0 inches (~69.0% screen-to-body ratio),Android,128,4,Non-removable Li-Ion 2770 mAh battery,770
LG,V20,2016  September,5.7 inches (~72.4% screen-to-body ratio),Android,64,4,Removable Li-Ion 3200 mAh battery,560
Xiaomi,Mi Pad 3,2017  April,7.9 inches (~71.8% screen-to-body ratio),Android,64,4,Non-removable Li-Po 6600 mAh battery,290
Gionee,M6 Plus,2016  July,6.0 inches (~76.7% screen-to-body ratio),Android,64,4,Non-removable Li-Po 6020 mAh battery,
Asus,Zenpad 3S 10 Z500M,2016  July,9.7 inches (~74.0% screen-to-body ratio),Android,64,4,Non-removable Li-Po 5900 mAh battery (22 Wh),400
Allview,P9 Energy,2016  September,5.5 inches (~72.7% screen-to-body ratio),Android,64,4,Non-removable Li-Po 5000 mAh battery,
Gionee,M6,2016  July,5.5 inches (~72.7% screen-to-body ratio),Android,64,4,Non-removable Li-Po 5000 mAh battery,
Huawei,Honor Note 8,2016  August,6.6 inches (~74.6% screen-to-body ratio),Android,64,4,Non-removable Li-Po 4500 mAh battery,440
Oppo,R9 Plus,2016  March,6.0 inches (~75.3% screen-to-body ratio),Android,64,4,Non-removable Li-Po 4120 mAh battery,550
Coolpad,Cool S1,2016  December,5.5 inches (~73.7% screen-to-body ratio),Android,64,4,Non-removable Li-Po 4070 mAh battery,420
Allview,X4 Soul Style,2017  March,5.5 inches (~71.5% screen-to-body ratio),Android,64,4,Non-removable Li-Po 4010 mAh battery,
Huawei,Mate 9,2016  November,5.9 inches (~77.5% screen-to-body ratio),Android,64,4,Non-removable Li-Po 4000 mAh battery,630
Huawei,Mate 9 Pro,2016  November,5.5 inches (~73.2% screen-to-body ratio),Android,64,4,Non-removable Li-Po 4000 mAh battery,850
Lenovo,ZUK Z2,2016  May,5.0 inches (~70.6% screen-to-body ratio),Android,64,4,Non-removable Li-Po 3500 mAh battery,220
LeEco,Le Max,2016  January,6.33 inches (~79.2% screen-to-body ratio),Android,64,4,Non-removable Li-Po 3400 mAh battery,350
Huawei,P9 Plus,2016  April,5.5 inches (~72.7% screen-to-body ratio),Android,64,4,Non-removable Li-Po 3400 mAh battery,580
Huawei,Honor 9,2017  June,5.15 inches (~70.0% screen-to-body ratio),Android,64,4,Non-removable Li-Po 3200 mAh battery,500
BLU,Vivo 6,2016  November,5.5 inches (~72.2% screen-to-body ratio),Android,64,4,Non-removable Li-Po 3130 mAh battery,
Gionee,S6 Pro,2016  June,5.5 inches (~72.4% screen-to-body ratio),Android,64,4,Non-removable Li-Po 3130 mAh battery,390
Oppo,R9s,2016  October,5.5 inches (~73.4% screen-to-body ratio),Android,64,4,Non-removable Li-Po 3010 mAh battery,450
Oppo,R11,2017  June,5.5 inches (~72.2% screen-to-body ratio),Android,64,4,Non-removable Li-Po 3000 mAh battery,400
